INSERT INTO `phong`(`MaSoPhong`, `Day`, `Tang`, `LoaiPhong`, `GiaPhong`, `TinhTrangSuDung`, `SoNguoiTrongPhong`) VALUES 
('316','1','3','8','120','true','0'),
('317','1','3','8','120','true','0'),
('318','1','3','8','120','true','0'),
('319','1','3','8','120','true','0'),
('320','1','3','8','120','true','0'),
('401','1','4','4','240','true','0'),
('402','1','4','4','240','true','0'),
('403','1','4','4','240','true','0'),
('404','1','4','4','240','true','0'),
('405','1','4','4','240','true','0'),
('406','1','4','4','240','true','0'),
('407','1','4','4','240','true','0'),
('408','1','4','4','240','true','0'),
('409','1','4','4','240','true','0'),
('410','1','4','4','240','true','0'),
('411','1','4','6','160','true','0'),
('412','1','4','6','160','true','0'),
('413','1','4','6','160','true','0'),
('414','1','4','6','160','true','0'),
('415','1','4','6','160','true','0'),
('416','1','4','8','120','true','0'),
('417','1','4','8','120','true','0'),
('418','1','4','8','120','true','0'),
('419','1','4','8','120','true','0'),
('420','1','4','8','120','true','0'),
('501','1','5','4','240','true','0'),
('502','1','5','4','240','true','0'),
('503','1','5','4','240','true','0'),
('504','1','5','4','240','true','0'),
('505','1','5','4','240','true','0'),
('506','1','5','4','240','true','0'),
('507','1','5','4','240','true','0'),
('508','1','5','4','240','true','0'),
('509','1','5','4','240','true','0'),
('510','1','5','4','240','true','0'),
('511','1','5','6','160','true','0'),
('512','1','5','6','160','true','0'),
('513','1','5','6','160','true','0'),
('514','1','5','6','160','true','0'),
('515','1','5','6','160','true','0'),
('516','1','5','8','120','true','0'),
('517','1','5','8','120','true','0'),
('518','1','5','8','120','true','0'),
('519','1','5','8','120','true','0'),
('520','1','5','8','120','true','0'),
('101','2','1','4','240','true','0'),
('102','2','1','4','240','true','0'),
('103','2','1','4','240','true','0'),
('104','2','1','4','240','true','0'),
('105','2','1','4','240','true','0'),
('106','2','1','4','240','true','0'),
('107','2','1','4','240','true','0'),
('108','2','1','4','240','true','0'),
('109','2','1','4','240','true','0'),
('110','2','1','4','240','true','0'),
('111','2','1','6','160','true','0'),
('112','2','1','6','160','true','0'),
('113','2','1','6','160','true','0'),
('114','2','1','6','160','true','0'),
('115','2','1','6','160','true','0'),
('116','2','1','8','120','true','0'),
('117','2','1','8','120','true','0'),
('118','2','1','8','120','true','0'),
('119','2','1','8','120','true','0'),
('120','2','1','8','120','true','0'),
('201','2','2','4','240','true','0'),
('202','2','2','4','240','true','0'),
('203','2','2','4','240','true','0'),
('204','2','2','4','240','true','0'),
('205','2','2','4','240','true','0'),
('206','2','2','4','240','true','0'),
('207','2','2','4','240','true','0'),
('208','2','2','4','240','true','0'),
('209','2','2','4','240','true','0'),
('210','2','2','4','240','true','0'),
('211','2','2','6','160','true','0'),
('212','2','2','6','160','true','0'),
('213','2','2','6','160','true','0'),
('214','2','2','6','160','true','0'),
('215','2','2','6','160','true','0'),
('216','2','2','8','120','true','0'),
('217','2','2','8','120','true','0'),
('218','2','2','8','120','true','0'),
('219','2','2','8','120','true','0'),
('220','2','2','8','120','true','0'),
('301','2','3','4','240','true','0'),
('302','2','3','4','240','true','0'),
('303','2','3','4','240','true','0'),
('304','2','3','4','240','true','0'),
('305','2','3','4','240','true','0'),
('306','2','3','4','240','true','0'),
('307','2','3','4','240','true','0'),
('308','2','3','4','240','true','0'),
('309','2','3','4','240','true','0'),
('310','2','3','4','240','true','0'),
('311','2','3','6','160','true','0'),
('312','2','3','6','160','true','0'),
('313','2','3','6','160','true','0'),
('314','2','3','6','160','true','0'),
('315','2','3','6','160','true','0'),
('316','2','3','8','120','true','0'),
('317','2','3','8','120','true','0'),
('318','2','3','8','120','true','0'),
('319','2','3','8','120','true','0'),
('320','2','3','8','120','true','0'),
('401','2','4','4','240','true','0'),
('402','2','4','4','240','true','0'),
('403','2','4','4','240','true','0'),
('404','2','4','4','240','true','0'),
('405','2','4','4','240','true','0'),
('406','2','4','4','240','true','0'),
('407','2','4','4','240','true','0'),
('408','2','4','4','240','true','0'),
('409','2','4','4','240','true','0'),
('410','2','4','4','240','true','0'),
('411','2','4','6','160','true','0'),
('412','2','4','6','160','true','0'),
('413','2','4','6','160','true','0'),
('414','2','4','6','160','true','0'),
('415','2','4','6','160','true','0'),
('416','2','4','8','120','true','0'),
('417','2','4','8','120','true','0'),
('418','2','4','8','120','true','0'),
('419','2','4','8','120','true','0'),
('420','2','4','8','120','true','0'),
('501','2','5','4','240','true','0'),
('502','2','5','4','240','true','0'),
('503','2','5','4','240','true','0'),
('504','2','5','4','240','true','0'),
('505','2','5','4','240','true','0'),
('506','2','5','4','240','true','0'),
('507','2','5','4','240','true','0'),
('508','2','5','4','240','true','0'),
('509','2','5','4','240','true','0'),
('510','2','5','4','240','true','0'),
('511','2','5','6','160','true','0'),
('512','2','5','6','160','true','0'),
('513','2','5','6','160','true','0'),
('514','2','5','6','160','true','0'),
('515','2','5','6','160','true','0'),
('516','2','5','8','120','true','0'),
('517','2','5','8','120','true','0'),
('518','2','5','8','120','true','0'),
('519','2','5','8','120','true','0'),
('520','2','5','8','120','true','0'),
('101','3','1','4','240','true','0'),
('102','3','1','4','240','true','0'),
('103','3','1','4','240','true','0'),
('104','3','1','4','240','true','0'),
('105','3','1','4','240','true','0'),
('106','3','1','4','240','true','0'),
('107','3','1','4','240','true','0'),
('108','3','1','4','240','true','0'),
('109','3','1','4','240','true','0'),
('110','3','1','4','240','true','0'),
('111','3','1','6','160','true','0'),
('112','3','1','6','160','true','0'),
('113','3','1','6','160','true','0'),
('114','3','1','6','160','true','0'),
('115','3','1','6','160','true','0'),
('116','3','1','8','120','true','0'),
('117','3','1','8','120','true','0'),
('118','3','1','8','120','true','0'),
('119','3','1','8','120','true','0'),
('120','3','1','8','120','true','0'),
('201','3','2','4','240','true','0'),
('202','3','2','4','240','true','0'),
('203','3','2','4','240','true','0'),
('204','3','2','4','240','true','0'),
('205','3','2','4','240','true','0'),
('206','3','2','4','240','true','0'),
('207','3','2','4','240','true','0'),
('208','3','2','4','240','true','0'),
('209','3','2','4','240','true','0'),
('210','3','2','4','240','true','0'),
('211','3','2','6','160','true','0'),
('212','3','2','6','160','true','0'),
('213','3','2','6','160','true','0'),
('214','3','2','6','160','true','0'),
('215','3','2','6','160','true','0'),
('216','3','2','8','120','true','0'),
('217','3','2','8','120','true','0'),
('218','3','2','8','120','true','0'),
('219','3','2','8','120','true','0'),
('220','3','2','8','120','true','0'),
('301','3','3','4','240','true','0'),
('302','3','3','4','240','true','0'),
('303','3','3','4','240','true','0'),
('304','3','3','4','240','true','0'),
('305','3','3','4','240','true','0'),
('306','3','3','4','240','true','0'),
('307','3','3','4','240','true','0'),
('308','3','3','4','240','true','0'),
('309','3','3','4','240','true','0'),
('310','3','3','4','240','true','0'),
('311','3','3','6','160','true','0'),
('312','3','3','6','160','true','0'),
('313','3','3','6','160','true','0'),
('314','3','3','6','160','true','0'),
('315','3','3','6','160','true','0'),
('316','3','3','8','120','true','0'),
('317','3','3','8','120','true','0'),
('318','3','3','8','120','true','0'),
('319','3','3','8','120','true','0'),
('320','3','3','8','120','true','0'),
('401','3','4','4','240','true','0'),
('402','3','4','4','240','true','0'),
('403','3','4','4','240','true','0'),
('404','3','4','4','240','true','0'),
('405','3','4','4','240','true','0'),
('406','3','4','4','240','true','0'),
('407','3','4','4','240','true','0'),
('408','3','4','4','240','true','0'),
('409','3','4','4','240','true','0'),
('410','3','4','4','240','true','0'),
('411','3','4','6','160','true','0'),
('412','3','4','6','160','true','0'),
('413','3','4','6','160','true','0'),
('414','3','4','6','160','true','0'),
('415','3','4','6','160','true','0'),
('416','3','4','8','120','true','0'),
('417','3','4','8','120','true','0'),
('418','3','4','8','120','true','0'),
('419','3','4','8','120','true','0'),
('420','3','4','8','120','true','0'),
('501','3','5','4','240','true','0'),
('502','3','5','4','240','true','0'),
('503','3','5','4','240','true','0'),
('504','3','5','4','240','true','0'),
('505','3','5','4','240','true','0'),
('506','3','5','4','240','true','0'),
('507','3','5','4','240','true','0'),
('508','3','5','4','240','true','0'),
('509','3','5','4','240','true','0'),
('510','3','5','4','240','true','0'),
('511','3','5','6','160','true','0'),
('512','3','5','6','160','true','0'),
('513','3','5','6','160','true','0'),
('514','3','5','6','160','true','0'),
('515','3','5','6','160','true','0'),
('516','3','5','8','120','true','0'),
('517','3','5','8','120','true','0'),
('518','3','5','8','120','true','0'),
('519','3','5','8','120','true','0'),
('520','3','5','8','120','true','0');
